ISO,Country Name,Region,Disaster Type,Disaster Subgroup,Disaster_Count
THA,Thailand,Asia,Mass Movement,Hydrological,2
TTO,Trinidad and Tobago,South America,Flood,Hydrological,2
TON,Tonga,Oceania,Epidemic,Biological,2
PRY,Paraguay,South America,Wildfire,Climatological,2
TLS,Timor-Leste,Asia,Storm,Meteorological,2
PSE,Palestine,Asia,Extreme Temperature,Meteorological,2
TLS,Timor-Leste,Asia,Drought,Climatological,2
BGR,Bulgaria,Europe,Earthquake,Geophysical,2
TJK,Tajikistan,Asia,Drought,Climatological,2
PRK,North Korea,Asia,Epidemic,Biological,2
PAN,Panama,South America,Earthquake,Geophysical,2
GNB,Guinea-Bissau,Africa,Drought,Climatological,2
ECU,Ecuador,South America,Drought,Climatological,2
KIR,Kiribati,Oceania,Flood,Hydrological,2
ETH,Ethiopia,Africa,Earthquake,Geophysical,2
KHM,Cambodia,Asia,Epidemic,Biological,2
MLT,Malta,Europe,Extreme Temperature,Meteorological,2
MMR,Myanmar,Asia,Epidemic,Biological,2
MMR,Myanmar,Asia,Extreme Temperature,Meteorological,2
KGZ,Kyrgyzstan,Asia,Storm,Meteorological,2
GMB,Gambia,Africa,Epidemic,Biological,2
KAZ,Kazakhstan,Asia,Extreme Temperature,Meteorological,2
ERI,Eritrea,Africa,Flood,Hydrological,2
KAZ,Kazakhstan,Asia,Earthquake,Geophysical,2
GNB,Guinea-Bissau,Africa,Storm,Meteorological,2
EGY,Egypt,Africa,Extreme Temperature,Meteorological,2
GNQ,Eq. Guinea,Africa,Epidemic,Biological,2
GRD,Grenada,South America,Drought,Climatological,2
JOR,Jordan,Asia,Flood,Hydrological,2
JOR,Jordan,Asia,Extreme Temperature,Meteorological,2
JAM,Jamaica,South America,Flood,Hydrological,2
JAM,Jamaica,South America,Drought,Climatological,2
ITA,Italy,Europe,Volcanic Activity,Geophysical,2
ECU,Ecuador,South America,Storm,Meteorological,2
MHL,Marshall Is.,Oceania,Storm,Meteorological,2
MHL,Marshall Is.,Oceania,Flood,Hydrological,2
KNA,St. Kitts and Nevis,South America,Storm,Meteorological,2
LBN,Lebanon,Asia,Wildfire,Climatological,2
LSO,Lesotho,Africa,Flood,Hydrological,2
LTU,Lithuania,Europe,Drought,Climatological,2
LTU,Lithuania,Europe,Flood,Hydrological,2
LUX,Luxembourg,Europe,Storm,Meteorological,2
DJI,Djibouti,Africa,Epidemic,Biological,2
LVA,Latvia,Europe,Storm,Meteorological,2
MAR,Morocco,Africa,Earthquake,Geophysical,2
FSM,Micronesia,Oceania,Drought,Climatological,2
GEO,Georgia,Asia,Earthquake,Geophysical,2
MDA,Moldova,Europe,Storm,Meteorological,2
MEX,Mexico,South America,Wildfire,Climatological,2
